[0.82781457 0.87710197 0.1755814  0.8244186  0.8244186  0.8244186
 0.8244186  0.8244186  0.8244186  0.8244186 ]
[0.82781457 0.87710197 0.1755814  0.8244186  0.8244186  0.8244186
 0.8244186  0.8244186  0.8244186  0.8244186 ]
[0.82781457 0.87710197 0.1755814  0.8244186  0.8244186  0.8244186
 0.8244186  0.8244186  0.8244186  0.8244186 ]
[0.82781457 0.87710197 0.1755814  0.8244186  0.8244186  0.8244186
 0.8244186  0.8244186  0.8244186  0.8244186 ]
[0.82781457 0.87710197 0.1755814  0.8244186  0.8244186  0.8244186
 0.8244186  0.8244186  0.8244186  0.8244186 ]
[0.82781457 0.87710197 0.1755814  0.8244186  0.8244186  0.8244186
 0.8244186  0.8244186  0.8244186  0.8244186 ]
[0.82781457 0.87710197 0.1755814  0.8244186  0.8244186  0.8244186
 0.8244186  0.8244186  0.8244186  0.8244186 ]
[0.82781457 0.87710197 0.1755814  0.8244186  0.8244186  0.8244186
 0.8244186  0.8244186  0.8244186  0.8244186 ]
[0.82781457 0.87710197 0.1755814  0.8244186  0.8244186  0.8244186
 0.8244186  0.8244186  0.8244186  0.8244186 ]
